Name,Description,Quantity,Datasheet
CAP_0805,,1,
CAP_0805,,1,
CAP_0805,,1,
CAP_0805,,1,
CAP_0805,,1,
CAP_0805,,1,
CAP_0805,,1,
CAP_0805,,1,
CAP_0805,,1,
CAP_0805,,1,https://www.sparkfun.com/products/11405
20mm_7seg_LED,7 segment LED display,1,
DIODE_0805,,1,
DB2X20700L,,1,https://media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/DB2X20700L.pdf
DIODE_0805,,1,
644456-6,,1,http://datasheets.diptrace.com/con_headers/ENG_CD_644456_D2.pdf
1-644456-1,,1,http://datasheets.diptrace.com/con_headers/ENG_CD_644456_D2.pdf
644456-2,,1,http://datasheets.diptrace.com/con_headers/ENG_CD_644456_D2.pdf
644456-2,,1,http://datasheets.diptrace.com/con_headers/ENG_CD_644456_D2.pdf
IHLP-2020BZ-11,Inductor for power supply,1,http://www.vishay.com/docs/34261/ihlp2020bz11.pdf
DMN2004DMK_n-fet,N channel FET for LED/speaker load switch,1,https://www.diodes.com/assets/Datasheets/ds30937.pdf
DMN2004DMK_n-fet,,1,https://www.diodes.com/assets/Datasheets/ds30937.pdf
MOSFETP,,1,https://www.diodes.com/assets/Datasheets/DMG2305UX.pdf
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
RES_0805,,1,
BP06,,1,http://datasheets.diptrace.com/switches/BP_Dip_Switch.pdf
MCP73831,,1,https://cdn.sparkfun.com/assets/learn_tutorials/6/9/5/MCP738312.pdf
PIC18F46J50,,1,http://datasheets.diptrace.com/microchip/39760d.pdf
TLV62569DBVR,,1,http://www.ti.com/lit/ds/symlink/tlv62569.pdf
LM358D,,1,
SPARKFUN 32k CRYSTAL,Crystal,1,https://www.sparkfun.com/products/540
,,64,
